indice,imagen_origen,imagen_aumentada,ruta_origen,ruta_aumentada
1,negativos_train_0585.jpg,negativo_aug_00001.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0585.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00001.jpg
2,negativos_train_0441.jpg,negativo_aug_00002.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0441.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00002.jpg
3,negativos_train_0458.jpg,negativo_aug_00003.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0458.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00003.jpg
4,negativos_train_0525.jpg,negativo_aug_00004.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0525.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00004.jpg
5,negativos_train_0593.jpg,negativo_aug_00005.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0593.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00005.jpg
6,negativos_train_0013.jpg,negativo_aug_00006.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0013.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00006.jpg
7,negativos_train_0513.jpg,negativo_aug_00007.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0513.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00007.jpg
8,negativos_train_0591.jpg,negativo_aug_00008.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0591.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00008.jpg
9,negativos_train_0248.jpg,negativo_aug_00009.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0248.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00009.jpg
10,negativos_train_0139.jpg,negativo_aug_00010.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0139.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00010.jpg
11,negativos_train_0342.jpg,negativo_aug_00011.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0342.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00011.jpg
12,negativos_train_0360.jpg,negativo_aug_00012.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0360.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00012.jpg
13,negativos_train_0514.jpg,negativo_aug_00013.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0514.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00013.jpg
14,negativos_train_0488.jpg,negativo_aug_00014.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0488.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00014.jpg
15,negativos_train_0269.jpg,negativo_aug_00015.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0269.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00015.jpg
16,negativos_train_0212.jpg,negativo_aug_00016.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0212.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00016.jpg
17,negativos_train_0165.jpg,negativo_aug_00017.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0165.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00017.jpg
18,negativos_train_0626.jpg,negativo_aug_00018.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0626.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00018.jpg
19,negativos_train_0537.jpg,negativo_aug_00019.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0537.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00019.jpg
20,negativos_train_0185.jpg,negativo_aug_00020.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0185.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00020.jpg
21,negativos_train_0507.jpg,negativo_aug_00021.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0507.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00021.jpg
