indice,recorte_origen,recorte_aumentado,ruta_origen,ruta_aumentada
1,taxi_recorte_train_0112.jpg,taxi_recorte_aug_00001.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0112.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00001.jpg
2,taxi_recorte_train_0097.jpg,taxi_recorte_aug_00002.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0097.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00002.jpg
3,taxi_recorte_train_0210.jpg,taxi_recorte_aug_00003.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0210.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00003.jpg
4,taxi_recorte_train_0202.jpg,taxi_recorte_aug_00004.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0202.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00004.jpg
5,taxi_recorte_train_0367.jpg,taxi_recorte_aug_00005.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0367.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00005.jpg
6,taxi_recorte_train_0378.jpg,taxi_recorte_aug_00006.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0378.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00006.jpg
7,taxi_recorte_train_0246.jpg,taxi_recorte_aug_00007.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0246.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00007.jpg
8,taxi_recorte_train_0337.jpg,taxi_recorte_aug_00008.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0337.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00008.jpg
9,taxi_recorte_train_0155.jpg,taxi_recorte_aug_00009.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0155.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00009.jpg
10,taxi_recorte_train_0106.jpg,taxi_recorte_aug_00010.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0106.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00010.jpg
11,taxi_recorte_train_0119.jpg,taxi_recorte_aug_00011.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0119.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00011.jpg
12,taxi_recorte_train_0366.jpg,taxi_recorte_aug_00012.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0366.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00012.jpg
13,taxi_recorte_train_0476.jpg,taxi_recorte_aug_00013.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0476.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00013.jpg
14,taxi_recorte_train_0133.jpg,taxi_recorte_aug_00014.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0133.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00014.jpg
15,taxi_recorte_train_0507.jpg,taxi_recorte_aug_00015.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0507.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00015.jpg
16,taxi_recorte_train_0315.jpg,taxi_recorte_aug_00016.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0315.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00016.jpg
17,taxi_recorte_train_0389.jpg,taxi_recorte_aug_00017.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0389.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00017.jpg
18,taxi_recorte_train_0334.jpg,taxi_recorte_aug_00018.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/train/taxi_recorte_train_0334.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/positivos/recortes/augmented/taxi_recorte_aug_00018.jpg
