nombre_original,nombre_nuevo,conjunto,ruta_original
192.jpg,negativos_train_0001.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/192.jpg
979.jpg,negativos_train_0002.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/979.jpg
548.jpg,negativos_train_0003.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/548.jpg
576.jpg,negativos_train_0004.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/576.jpg
69.jpg,negativos_train_0005.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/69.jpg
975.jpg,negativos_train_0006.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/975.jpg
355.jpg,negativos_train_0007.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/355.jpg
654.jpg,negativos_train_0008.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/654.jpg
419.jpg,negativos_train_0009.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/419.jpg
590.jpg,negativos_train_0010.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/590.jpg
274.jpg,negativos_train_0011.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/274.jpg
399.jpg,negativos_train_0012.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/399.jpg
134.jpg,negativos_train_0013.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/134.jpg
476.jpg,negativos_train_0014.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/476.jpg
639.jpg,negativos_train_0015.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/639.jpg
641.jpg,negativos_train_0016.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/641.jpg
620.jpg,negativos_train_0017.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/620.jpg
789.jpg,negativos_train_0018.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/789.jpg
454.jpg,negativos_train_0019.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/454.jpg
299.jpg,negativos_train_0020.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/299.jpg
950.jpg,negativos_train_0021.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/950.jpg
498.jpg,negativos_train_0022.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/498.jpg
649.jpg,negativos_train_0023.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/649.jpg
663.jpg,negativos_train_0024.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/663.jpg
919.jpg,negativos_train_0025.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/919.jpg
79.jpg,negativos_train_0026.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/79.jpg
497.jpg,negativos_train_0027.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/497.jpg
91.jpg,negativos_train_0028.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/91.jpg
634.jpg,negativos_train_0029.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/634.jpg
836.jpg,negativos_train_0030.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/836.jpg
924.jpg,negativos_train_0031.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/924.jpg
338.jpg,negativos_train_0032.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/338.jpg
141.jpg,negativos_train_0033.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/141.jpg
969.jpg,negativos_train_0034.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/969.jpg
652.jpg,negativos_train_0035.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/652.jpg
276.jpg,negativos_train_0036.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/276.jpg
471.jpg,negativos_train_0037.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/471.jpg
491.jpg,negativos_train_0038.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/491.jpg
564.jpg,negativos_train_0039.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/564.jpg
781.jpg,negativos_train_0040.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/781.jpg
826.jpg,negativos_train_0041.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/826.jpg
481.jpg,negativos_train_0042.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/481.jpg
252.jpg,negativos_train_0043.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/252.jpg
467.jpg,negativos_train_0044.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/467.jpg
742.jpg,negativos_train_0045.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/742.jpg
153.jpg,negativos_train_0046.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/153.jpg
793.jpg,negativos_train_0047.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/793.jpg
44.jpg,negativos_train_0048.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/44.jpg
722.jpg,negativos_train_0049.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/722.jpg
664.jpg,negativos_train_0050.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/664.jpg
423.jpg,negativos_train_0051.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/423.jpg
599.jpg,negativos_train_0052.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/599.jpg
772.jpg,negativos_train_0053.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/772.jpg
583.jpg,negativos_train_0054.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/583.jpg
328.jpg,negativos_train_0055.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/328.jpg
351.jpg,negativos_train_0056.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/351.jpg
947.jpg,negativos_train_0057.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/947.jpg
689.jpg,negativos_train_0058.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/689.jpg
738.jpg,negativos_train_0059.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/738.jpg
59.jpg,negativos_train_0060.jpg,train,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/originales/59.jpg
